,Audio Capture Time,Pattern Detection Time,FFT Filtering Time,Equalization Time,Serial Write Time
avg,0.006684000000000001,0.24193800000000004,0.23340799999999998,0.12911799999999998,0.282082
peak,0.032,0.4237,0.5095,0.2985,0.3818
min,0.004,0.1808,0.1651,0.0845,0.2416
max,0.032,0.4237,0.5095,0.2985,0.3818
